Value Added by Industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value Added by Industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Release Date: November 16, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Line,industry,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
1,    Gross domestic product,249.6,274.5,272.5,299.8,346.9,367.3,389.2,390.5,425.5,449.4,474,481.2,521.7,542.4,562.2,603.9,637.5,684.5,742.3,813.4,860,940.7,1017.6,1073.3,1164.9,1279.1,1425.4,1545.2,1684.9,1873.4,2081.8,2351.6,2627.3,2857.3,3207,3343.8,3634,4037.6,4339,4579.6,4855.2,5236.4,5641.6,5963.1,6158.1,6520.3,6858.6,7287.2,7639.7,8073.1,8577.6
2,Private industries,216.1,241.3,237.7,264.1,302.4,316.4,336,335.4,367.6,387.7,407.9,410.7,447.5,463.5,478.3,514.3,541.3,581.4,631.9,691.2,726.2,791.7,855.1,894.7,969.8,1067.1,1198,1297.1,1413.1,1581.6,1768.7,2009.9,2256.4,2449.3,2754,2850.1,3107.5,3468.1,3722.5,3924.1,4160.1,4487.3,4834.7,5097,5234.1,5544.8,5852.2,6244.3,6563,6969,7432
3,"  Agriculture, forestry, fishing, and hunting",19.9,23.2,18.6,19.9,23,22.1,20,19.6,18.8,18.6,18.4,20.6,19,19.9,20,20.3,20.5,19.6,22.4,23.4,22.9,23.6,26.3,27.3,29.4,34.3,52.2,50.1,51.4,50.1,51.2,59.5,70.2,62.2,75.7,71.7,57.3,77,77,74.1,79.3,78.7,91.7,96.1,88,98.6,90.5,105.3,90.7,113.6,108.6
4,    Farms,19.1,22.1,17.6,18.7,21.7,20.8,18.7,18.2,17.3,17.1,16.9,19.1,17.3,18.2,18.3,18.4,18.5,17.3,19.9,20.8,20.1,20.5,22.8,23.7,25.4,29.7,46.8,44.2,45.6,43,43.5,50.7,60.1,51.4,65,60.4,44.9,64.2,63.7,59.9,62,61.4,73.9,77.8,70.4,79.9,71.3,83.6,68.4,92.6,88.1
5,"    Forestry, fishing, and related activities",0.9,1.1,1,1.2,1.3,1.3,1.4,1.4,1.5,1.5,1.5,1.5,1.7,1.7,1.7,1.9,2,2.3,2.5,2.6,2.7,3.1,3.5,3.6,4,4.7,5.4,5.8,5.8,7.1,7.7,8.8,10.1,10.8,10.7,11.3,12.3,12.9,13.3,14.2,17.2,17.3,17.8,18.3,17.6,18.8,19.2,21.7,22.3,21,20.5
6,  Mining,5.8,7.7,6.6,7.6,8.4,8.3,8.7,8.8,10,10.8,10.9,10,9.8,10.1,10.2,10.3,10.6,11,11.2,11.8,12,12.9,13.5,15,15.2,15.9,19.1,29.7,34.2,38,44,50.4,59.3,91.2,122,119.1,103.1,107.5,106.7,70.5,73.1,74,78.6,88.3,79.4,73.5,74.4,76.1,76.5,90.1,95.1
7,    Oil and gas extraction,2,3.2,3.1,3.4,3.8,4,4.3,4.7,5.2,5.5,5.7,5.5,5.5,5.5,5.6,5.7,5.7,5.8,6,6.1,6.7,7.2,7.5,7.7,8,8.2,9.7,15.5,18.2,21.1,24.5,27.9,33.2,59.6,82.2,78.3,71,72.7,73.6,44.4,47.5,42.8,47.6,55.5,45.9,42.2,43.1,41.8,42.4,54.5,55.1
8,"    Mining, except oil and gas",3.3,3.9,2.9,3.6,3.9,3.5,3.5,3.2,3.8,4.3,4.1,3.5,3.3,3.6,3.5,3.5,3.8,4,4,4.5,4,4.3,4.6,5.8,5.6,6.1,7.5,11.1,12.5,12.8,14.7,16.5,19.7,20.9,21.4,20.5,19.4,21.4,20,18.4,18.7,22.7,23,23.6,23.7,23.6,22.2,25.3,25.2,25.8,26.5
9,    Support activities for mining,0.5,0.7,0.6,0.7,0.8,0.8,0.9,0.9,1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.3,1.4,1.5,1.5,1.6,1.6,1.9,3.1,3.6,4.1,4.8,6,6.4,10.7,18.4,20.3,12.8,13.4,13.2,7.6,6.8,8.5,7.9,9.1,9.7,7.6,9,8.9,9,9.8,13.5
10,  Utilities,3.5,3.9,4.4,4.9,5.6,6.1,6.8,7.5,8.1,8.6,9.3,10,11,12,12.6,13.4,14,14.9,15.6,16.7,17.5,19,20.4,21.7,24.6,27,28.9,30.2,38.4,42.9,47.5,52,53.7,60.9,72,83.2,94.6,105.9,113.6,117.9,125.8,125.3,138.5,145.6,153.8,160.1,164.7,172.4,176,175,171.5
11,  Construction,8.9,11.1,11.2,12.8,15.2,16.4,17,17.1,18.4,20.2,21.3,20.9,22.7,23.1,24.1,25.9,27.6,30.3,33.2,36.6,38.2,41.8,46.6,49.4,54.4,60,68,72.8,73.6,84.2,92.9,109.9,125.1,131.7,133.2,131,139.2,160.3,177.3,197.5,211,227.8,241,245.9,230,235,251.4,277.7,292.9,316.3,339.6
12,  Manufacturing,63.4,71,69,80.3,95.8,100,109.5,103.7,117.3,122.4,127.5,120.9,136,137.8,138.5,152.2,160.9,173,191.2,212.2,217.5,236.8,248.7,245.4,258.9,284.6,314.6,331.3,351.5,401.8,455.7,508.7,566.9,584.5,650.2,640.9,696.9,777,804.1,830.8,878.8,960.4,1015.8,1035.4,1043,1085.5,1124.3,1193.4,1259.6,1301.5,1382.9
13,    Durable goods,32.6,36.9,36.2,44.5,54.4,57.9,65.3,60.2,69.5,72.4,76.9,69.5,80.5,81.3,80.7,90.9,96.9,104.8,117.7,131.5,134.7,146.4,154.2,147.4,155.3,173.2,195.4,203.2,210.3,242.6,279.3,319.1,350.5,357.9,397.9,383.2,413.1,482.6,495.7,507.2,532.5,580.6,607.7,603.7,597.5,618.7,644.6,691.4,727.9,768,823.8
14,      Wood products,1.7,2,1.7,2.1,2.4,2.3,2.3,2.2,2.5,2.5,2.3,2.3,2.7,2.5,2.4,2.6,2.9,3.2,3.5,3.5,3.6,4.2,4.7,4.6,5.1,6.1,7.4,7.4,6.8,8.7,10.6,12.9,14.2,12,11.2,10.1,13.7,15.1,15.3,17.7,19.7,19.8,20.6,19.6,18.7,19.7,22,24.6,25.6,25.3,26.8
15,      Nonmetallic mineral products,2,2.4,2.4,2.9,3.4,3.2,3.6,3.7,4.4,4.5,4.6,4.6,5.4,5.2,5.2,5.5,5.8,6.3,6.5,6.7,6.6,7.2,8.1,8,8.9,10,11,11.2,11.5,13.4,15,17.5,19,18.5,18.4,16.2,19.8,22.7,24.4,26.9,25.2,26.5,27.3,26.6,24.3,27.5,28.2,32,33.9,34.3,39.8
16,      Primary metals,5.4,5.9,5.6,7.2,9.2,8.3,10.1,8.7,11,11.7,12.4,10.2,11.5,11.6,10.9,11.8,12.5,14.3,15.9,17.6,17.1,17.2,18.2,17.7,18.1,20.6,24,30.4,27.5,29.5,32.1,38.9,43.6,42.4,47.8,34.4,30.2,36.3,31.7,33.1,33,41.1,44.6,41.1,37.9,38.9,39.7,43.7,47.7,46,48.1
17,      Fabricated metal products,4.6,5.2,4.9,6,7.5,7.7,8.5,7.9,8.7,9.3,9.9,9.1,10,10.1,10.2,11.4,11.9,13,14.6,16.8,18,19.4,20.6,19.8,20.3,23.1,26.6,28.3,30,34.2,38.5,43.6,49.9,52.9,58.1,53.9,55.3,62.8,66.6,67.2,69.5,74.2,78.2,79.8,77.6,80.3,83.9,93.4,98.8,105.4,110
18,      Machinery,5,5.7,5.3,6,8.4,9.3,9.5,8.8,9.2,10.7,11,9.6,11.4,11.4,11.5,13.1,13.6,15.5,17.3,20.2,21,22.1,23.8,24.7,24.1,27.7,31.6,34.2,37.3,42.3,49,56,62.2,66.8,74.4,67.3,62.6,69.2,69.6,65,69.6,80.4,88,89.1,83.1,85,86.1,90,95.2,96.8,102.2
19,      Computer and electronic products,2.7,3,2.8,3.5,4.4,5,5.5,5,5.3,6,6.7,6.6,7.9,8.2,8.5,9.5,9.8,10.4,11.9,13.9,14.8,15.9,17.1,16.9,17.4,19.4,22,22.4,23.7,27,31.6,36.5,41.9,50.3,58,61.7,71,85.1,89.7,88.9,98.5,107.9,111.8,114.8,116.8,121.3,124.9,140.7,159.7,171.9,195.3
20,"      Electrical equipment, appliances, and components",2,2.2,2,2.6,3.2,3.6,4,3.7,4,4.6,4.9,4.7,5.5,5.8,5.8,6.4,6.6,6.9,8,9.2,9.7,10.3,10.9,10.6,11,12.2,13.8,13.9,14.4,16.4,19.2,21.4,23.6,25,27.6,25,27.8,31.7,33.1,34,36,37.7,41.6,41.9,40.8,41.7,43,45.5,44.3,44.3,46.9
