Chain-Type Quantity Indexes for Value Added by Industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chain-Type Quantity Indexes for Value Added by Industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Release Date: November 16, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Line,industry,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
1,    Gross domestic product,12.527,13.043,12.969,14.096,15.23,15.852,16.596,16.5,17.677,18.053,18.434,18.297,19.566,20.069,20.584,21.845,22.796,24.11,25.676,27.37,28.121,29.503,30.425,30.481,31.485,33.141,35.012,34.823,34.751,36.624,38.317,40.438,41.719,41.611,42.667,41.898,43.819,46.99,48.949,50.644,52.396,54.585,56.589,57.656,57.594,59.623,61.263,63.732,65.442,67.911,70.931
2,Private industries,11.536,12.081,11.996,13.108,13.883,14.314,15.069,14.953,16.175,16.451,16.745,16.555,17.735,18.179,18.574,19.809,20.716,21.982,23.513,25.009,25.638,26.962,27.835,27.995,29.145,31.085,32.937,32.701,32.574,34.56,36.272,38.312,39.591,39.241,40.327,39.443,41.644,44.819,46.819,48.625,50.154,52.388,54.301,55.223,55.156,57.314,59.088,61.776,63.41,66.405,70.046
3,"  Agriculture, forestry, fishing, and hunting",22.139,25.126,24.17,25.559,24.256,25.435,26.814,27.864,28.613,28.576,27.671,28.597,28.217,29.776,30.095,29.807,30.622,29.834,31.774,30.923,32.925,32.261,33.076,33.641,35.052,35.471,34.329,34.274,40.335,38.345,39.342,37.993,41.263,41.843,52.508,55.618,41.849,53.395,61.811,59.71,62.047,55.364,61.353,65.19,65.289,72.626,64.549,76.145,63.986,71.4,77.781
4,    Farms,20.463,23.578,22.629,23.802,22.484,23.7,24.865,25.769,26.345,26.378,25.358,26.255,26.119,27.575,27.826,27.293,28.157,27.197,28.953,27.936,30.156,29.096,30.129,30.967,32.596,32.595,32.222,31.509,37.49,35.679,37.555,36.129,39.57,38.443,50.785,53.244,36.799,49.097,58.174,55.659,56.196,49.967,56.772,61.275,61.622,71.177,63.086,76.373,60.806,70.355,78.888
5,"    Forestry, fishing, and related activities",34.392,28.23,28.38,32.819,33.568,32.4,36.646,39.502,42.807,41.557,43.67,44.157,39.656,41.647,42.818,46.774,46.213,48.372,51.701,53.887,51.668,56.336,54.074,51.321,50.063,54.627,45.225,53.596,57.917,54.632,48.289,47.671,49.295,63.012,60.201,67.608,74.191,78.259,80.919,81.625,94.854,85.724,86.308,85.849,84.527,80.508,72.342,77.446,78.33,76.515,73.61
6,  Mining,58.64,56.219,49.97,57.816,60.842,59.351,59.848,62.89,71.119,72.023,70.543,68.258,67.724,70.293,71.134,71.358,72.865,70.885,73.008,75.806,75.832,79.687,79.138,79.047,75.316,76.59,78.249,64.699,56.473,57.336,58.659,59.216,49.507,49.182,45.022,42.738,42.295,46.368,50.471,56.587,57.558,64.949,61.711,61.518,63.903,61.166,64.839,71.188,73.412,69.297,72.719
7,    Oil and gas extraction,81.5,91.5,93.288,105.825,117.651,125.29,126.492,132.313,147.456,153.778,146.356,142.738,144.051,142.017,145.364,145.526,145.023,140.564,143.735,143.239,152.492,162.613,162.309,159.785,153.47,156.326,151.619,111.545,101.436,102.292,99.263,103.143,77.04,69.992,61.704,59.696,58.755,61.527,69.952,90.764,90.348,97.758,91.262,87.432,89.525,83.699,85.224,94.652,104.039,89.763,90.245
8,"    Mining, except oil and gas",71.787,60.673,46.661,55.541,55.699,48.743,48.611,47.991,56.389,56.61,56.347,51.187,48.204,54.527,53.809,54.066,57.822,56.328,58.216,64.871,57.513,58.661,57.204,58.274,54.042,54.413,59.372,52.519,43.51,44.634,52.292,52.529,54.378,53.205,53.695,52.977,53.374,62.066,60.936,60.284,60.73,74.741,75.856,79.953,86.208,87.34,89.619,101.223,97.562,106.594,113.575
9,    Support activities for mining,5.361,5.62,5.502,6.095,6.278,6.591,6.92,9.452,10.038,9.05,9.65,11.167,11.965,12.269,12.722,12.831,12.774,12.602,13.304,13.221,14.499,15.495,15.871,15.945,16.098,16.823,17.391,19.213,16.386,16.643,14.662,12.972,9.829,15.928,15.008,12.611,12.632,16.285,16.402,11.405,13.75,15.733,13.697,14.88,15.204,14.048,20.083,19.403,17.957,17.737,22.044
10,  Utilities,17.685,20.615,22.894,25.044,28.212,28.889,30.479,32.32,33.063,34.852,36.799,36.953,39.394,40.493,41.627,43.964,45.01,47.918,49.338,52.844,55.118,59.066,61.902,62.489,65.16,66.694,69.001,68.507,71.893,68.104,64.371,64.402,65.037,68.647,72.611,66.426,65.877,69.735,72.216,71.069,78.257,75.317,81.792,85.668,83.157,84.201,83.283,84.658,85.325,85.065,81.637
