Line,level,category,Note,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
1,0,    All industries,,1163,1242.7,1356,1479.2,1555,1689.8,1824.9,1903,2049.3,2273.7,2556,2877.8,3055.3,3434.6,3872.7,4366.8,4925.5,5462,6033.5,6175,6631,7313.8,7775.7,8031,8707.5,9434.2,10069.8,10624.6,10808,11381,12024.4,12826.8,13653.2,14463.4,15393.3
2,0,      Value added,,637.5,684.5,742.3,813.4,860,940.7,1017.6,1073.3,1164.9,1279.1,1425.4,1545.2,1684.9,1873.4,2081.8,2351.6,2627.3,2857.3,3207,3343.8,3634,4037.6,4339,4579.6,4855.2,5236.4,5641.6,5963.1,6158.1,6520.3,6858.6,7287.2,7639.7,8073.1,8577.6
3,0,        Compensation of employees,,,,,,,,,,,,,,,,,,,,,,,,,,2723.8,2948.9,3140.9,3342.7,3453.3,3671.2,3820.6,4010.2,4202.2,4421.1,4713.2
4,0,        Taxes on production and imports less subsidies,,,,,,,,,,,,,,,,,,,,,,,,,,317.3,345,371.4,398,429.6,453.3,466.4,512.7,523.1,545.5,577.8
5,0,        Gross operating surplus,,,,,,,,,,,,,,,,,,,,,,,,,,1814.2,1942.6,2129.3,2222.5,2275.3,2395.8,2571.5,2764.3,2914.5,3106.5,3286.5
6,0,      Intermediate inputs,,525.6,558.2,613.7,665.7,695,749.1,807.3,829.7,884.5,994.6,1130.6,1332.5,1370.4,1561.2,1790.9,2015.2,2298.2,2604.6,2826.5,2831.2,2996.9,3276.2,3436.7,3451.4,3852.3,4197.8,4428.2,4661.4,4649.8,4860.7,5165.8,5539.6,6013.5,6390.3,6815.8
7,0,        Energy inputs,,27.2,28,30.3,32.1,34.6,36.7,39.1,43.2,46.3,52,58.2,88.8,97.7,114.7,136.3,150.6,196.1,243.3,275.4,271.6,270.6,267.2,251.6,197.9,231.4,237.7,252,274.5,265.6,267.1,283.1,292.3,307.1,333.2,360.4
8,0,        Materials inputs,,339.3,356.2,391.3,420.1,429.2,458.2,487.9,485,513.5,583,675.9,807.8,796.1,921.2,1062.3,1182.8,1333.5,1515.4,1606.9,1533,1555.1,1695.9,1736.9,1697,1910.1,2065.5,2147.2,2203.9,2156.7,2259.8,2392.6,2587.9,2841.1,2945.4,3089.6
9,0,        Purchased-services inputs,,159,174,192.1,213.5,231.3,254.2,280.3,301.4,324.7,359.6,396.6,435.9,476.6,525.3,592.4,681.9,768.5,846,944.2,1026.6,1171.2,1313.2,1448.2,1556.5,1710.8,1894.7,2029,2183,2227.6,2333.7,2490.2,2659.4,2865.3,3111.6,3365.8
10,1,Private industries,,1036.9,1108.7,1211.7,1316.6,1372.9,1486.8,1605.4,1667,1793,1995,2258.9,2547.7,2689.3,3042.9,3447.9,3900.2,4412.8,4888.2,5388.9,5468.1,5868.2,6496.1,6883.4,7075.2,7702.6,8366.9,8919.9,9386.8,9490.3,9998.7,10592.7,11334.5,12104.9,12864.4,13728.2
11,1,  Value added,,541.3,581.4,631.9,691.2,726.2,791.7,855.1,894.7,969.8,1067.1,1198,1297.1,1413.1,1581.6,1768.7,2009.9,2256.4,2449.3,2754,2850.1,3107.5,3468.1,3722.5,3924.1,4160.1,4487.3,4834.7,5097,5234.1,5544.8,5852.2,6244.3,6563,6969,7432
12,1,    Compensation of employees,,,,,,,,,,,,,,,,,,,,,,,,,,2186.2,2371.2,2518.8,2668.6,2734.8,2909.1,3035.4,3196.9,3364.9,3561.5,3823.5
13,1,    Taxes on production and imports less subsidies,,,,,,,,,,,,,,,,,,,,,,,,,,324,352.6,380.1,407.3,440.1,464.7,478.9,525.8,538.4,560.9,591.6
14,1,    Gross operating surplus,,,,,,,,,,,,,,,,,,,,,,,,,,1649.9,1763.5,1935.8,2021.1,2059.2,2171,2337.9,2521.6,2659.6,2846.7,3016.9
15,1,  Intermediate inputs,,495.6,527.3,579.8,625.4,646.7,695.1,750.3,772.3,823.3,927.9,1060.9,1250.7,1276.3,1461.2,1679.2,1890.4,2156.3,2438.9,2634.9,2618,2760.7,3028,3160.9,3151.1,3542.4,3879.6,4085.1,4289.8,4256.2,4453.9,4740.5,5090.2,5541.9,5895.4,6296.2
16,1,    Energy inputs,,24.8,25,26.8,28,29.3,31.2,33.5,37.3,40,45.6,51.3,78.4,85.1,100.9,120.5,133.1,173.6,214.7,241.4,233.8,232,229,210.8,161.7,192,199.7,210.6,227.8,218.5,220.2,233.9,240.3,252.1,274.7,302.1
17,1,    Materials inputs,,328.5,345.4,379.5,406,412.4,439.8,469.2,467.5,495.5,563.3,655.3,782.9,768.5,890.4,1026.3,1143.7,1290.7,1460.9,1546.9,1468.5,1487,1624.8,1657.8,1611.2,1821,1975.5,2053.5,2105.7,2052.4,2152.3,2275.3,2459.2,2699.5,2797.1,2935.2
18,1,    Purchased-services inputs,,142.3,156.9,173.5,191.4,205,224,247.6,267.4,287.7,319.1,354.4,389.4,422.7,469.9,532.4,613.6,692.1,763.3,846.6,915.7,1041.7,1174.3,1292.3,1378.2,1529.4,1704.4,1821,1956.3,1985.3,2081.4,2231.3,2390.7,2590.3,2823.6,3058.9
19,2,"  Agriculture, forestry, fishing, and hunting",,43.5,42.3,46.7,50.2,50.6,52.3,57.2,59.5,64.3,74.9,104.8,106.6,108.2,113.1,119.6,140.4,165.6,162.8,178.7,171.2,156.2,182,172.5,165.7,175.1,183.2,202,211.2,205.5,217.1,218.7,237.7,232.7,255.6,257.9
