msafips,msaname,population,households,workforce,housing_units,fb_population,wage_50,hourly_wage_50,valueh_50,hhinc_50,rent_50,wage_resid_raw,wage_resid,hourly_wage_resid_raw,hourly_wage_resid,rent_resid_raw,rent_resid,hp_resid_raw,hp_resid,amenity_index,year,pop_growth,hh_growth,hh_log_growth,emp_growth,fb_growth,fb_shock,hhinc_growth,hp_growth,hp_resid_growth,hp_log_growth,wage_growth,hourly_wage_growth,wage_resid_growth,hourly_wage_resid_growth,rent_growth,rent_resid_growth,amenity_growth,wrluri,obs,unaval,log_wrl,log_pop_1990,housing_supply_elasticity,inv_elasticity,saiz_elasticity,saiz_inv_elasticity
10420,"Akron, OH Metro Area",585322,244980,299114,244980,31813,45000,23.076923076923077,200000,66000,900,9.735183563364426,-0.05308790239933358,2.5395244219693613,-0.03443586941060905,5.6372246189698085,-0.3065839826561456,9.515672027105136,-0.4300581724014858,-0.08361042087711744,2022,0.8843218187971379,0.9764827806122449,-0.023798162602503226,0.9827896645988855,1.4345689033189033,0.014559865113130923,2.268041237113402,3.2,-0.2622292399114503,1.163150809805682,2.42039586919105,2.3999999999999995,0.8254266220919391,0.8667861373209782,2.3136246786632393,0.7130839752736078,-0.050707172969558456,-0.29276533238589664,8,0.09098584276578091,0.9959276960562939,NA,NA,NA,NA,NA
10580,"Albany-Schenectady-Troy, NY Metro Area",875126,367122,447696,367122,78085,53000,27.243589743589745,270000,80000,1180,9.788144158474216,-1.2730728954402082e-4,2.646300572448301,0.07234028106833046,5.990825411671284,0.04701681004532965,9.870559165733262,-0.07517103377336021,-0.02137799602988974,2022,1.0664880911758685,1.1507877298459648,0.1404466903564927,1.0875858148585422,1.9542747021723896,0.046466593871562135,2.509725185092232,2.8421052631578947,-0.3413445148270178,1.0445450673978325,2.789473684210526,2.7568312657098843,0.8431556314855566,0.920114484082494,2.675736961451247,0.7717552302891155,-0.058543115662814046,0.47423949912190416,10,0.329766891673123,1.2453756058922278,13.279917402134851,1.2780620701565872,0.7824346120196499,1.4403246131059901,0.6942879340536634
10740,"Albuquerque, NM Metro Area",705062,288551,354443,288551,72744,45000,23.557692307692307,295000,73000,1150,9.76283670997451,-0.02543475578925047,2.575757752341534,0.00179746096156341,5.871435322917716,-0.07237327870823851,9.898209694540109,-0.04752050496651527,-0.02479988706411605,2022,1.4862497101540926,1.5748451357620412,0.4541569409429389,1.5440102805366789,2.20737369139736,0.0838740276987289,2.5493277457656713,3.4705882352941178,-0.21459951914450315,1.2443240998495035,2.7777777777777777,2.7222222222222223,0.8848110276081051,0.9291050511696679,2.7845036319612593,0.7820504940211199,-0.0597308678457112,0.8372012376785269,2,0.172989823172997,1.3447432565089106,13.682123154972746,1.576573171091932,0.634287084377696,1.6924369158601573,0.5908639729072348
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",871966,338055,438359,338055,115114,50000,25,300000,83700,1280,9.832736810421936,0.04446534465817642,2.608206900061202,0.03424660868123164,5.955243052415988,0.01143445079003413,9.855834537554149,-0.08989566195247356,-0.01369240166671687,2022,0.3493886062016492,0.37207124115098794,-0.9886699345740002,0.3528801383316482,0.3730575657308414,-0.07751560589832636,2.0925,1.8461538461538463,-0.8056362216511488,0.613104472886409,2.1739130434782608,2.1175681502419397,0.6727865852929718,0.7089005831704731,2.2775800711743774,0.42605958344531913,-0.06490358965613612,0.215141281485557,14,0.260432281970965,1.1678713011985649,13.466041021190035,1.5174871964174705,0.658984143234177,1.6052620168030072,0.622951262493316
11100,"Amarillo, TX Metro Area",434469,157884,201074,157884,50918,39400,18.6,175000,60400,893,9.822443779030111,0.03417231326635317,2.5024559936526196,-0.07150429772735079,5.652723210657432,-0.29108539096852226,9.536389522569888,-0.4093406769367345,-0.05959098717866344,2022,2.3469333736670954,2.205638288955324,0.7910169404585812,2.346035375927568,6.87523629489603,0.23504499735309686,2.351292432264092,3.3333333333333335,-0.12823854833055925,1.203972804325936,2.188888888888889,2.1971830985915495,0.8941380957301188,0.9037025246989767,2.522598870056497,0.8481648750722295,-0.024957833598792646,1.51724672317505,1,0.0639328823828515,1.5079026762069276,13.678505711305267,1.5997288226745228,0.6251059465992117,1.9947487083664601,0.5013162789908109
11460,"Ann Arbor, MI Metro Area",366803,150945,191423,150945,46376,50000,26.041666666666668,350000,83700,1290,9.544549502651336,-0.24372196311242433,2.473263140529117,-0.10069715085085384,6.074398614936516,0.1305900133105622,10.009990963644093,0.06426076413746884,0.094450251326421,2022,1.2852287499255428,1.4747491524430159,0.38848790918856935,1.2953066002625488,2.2454849174454075,0.09012995840910444,2.25,3.111111111111111,-0.22007592821375432,1.1349799328389842,2.5,2.430555555555556,0.6394360077321277,0.7572365748527583,2.476007677543186,0.7553368643592311,0.019106557287489626,0.40812535211443907,8,0.154621580584591,1.2261623900143586,12.981879874767166,1.553641219339216,0.643649246397642,2.068366211852817,0.4834733782970726
11700,"Asheville, NC Metro Area",381995,148165,180154,148165,23890,42000,21.634615384615383,300000,64000,1110,9.696202089430663,-0.09206937633309664,2.4672534420369487,-0.10670684934302166,6.000499746963466,0.05669114533751163,10.110667650913284,0.16493745140666327,0.07312857112631989,2022,2.1968886588451806,2.090511463844797,0.7374087555807431,2.040133627767397,5.530092592592593,0.11254888428801472,2.4063768987817715,4.8,0.20121690734563202,1.5686159179138457,2.625,2.5568181818181817,0.868281501200423,0.8781155129798408,2.898172323759791,1.0590206454358633,0.05767394659796594,-0.447710543870926,3,0.758902251740954,0.9369907822986829,12.812580198175057,0.7836668522260748,1.2760524413651182,1.1246163068063066,0.8891921573143529
12060,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",6235231,2327159,3223494,2327159,972602,50000,25,350000,86200,1527,9.85914157090171,0.07087010513794922,2.623470601981657,0.04951031060168676,6.010522741601137,0.06671413997518272,9.97746476381766,0.03173456431103716,-0.00323459221504995,2022,2.1998431412949064,2.217672508266865,0.7964582262082072,2.127999735938738,7.377250868490116,0.29662877267059884,2.428169014084507,4.117647058823529,-0.18409050680719474,1.4152818979931432,2.5,2.476190476190476,0.790194517478298,0.8550354024530655,2.9365384615384613,0.817974279579075,-0.01010049776611882,-0.1181321989882872,27,0.16058385420825,1.0584386259533187,12.853162798497815,1.6714977717357216,0.5982658289526627,2.314296819031534,0.43209669208225027
12100,"Atlantic City-Hammonton, NJ Metro Area",265218,102408,129616,102408,41184,49000,25,300000,83400,1320,9.92055722501477,0.13228575925101005,2.6884910723227744,0.114530780942804,6.128037001391485,0.18422839976553096,9.995248112892057,0.04951791338543465,0.00238467364179517,2022,1.156147830408286,1.1966487105481485,0.17952490860653292,1.0744031830238727,2.42572741194487,0.10551966451320413,2.171875,2.6666666666666665,-0.35716028639071773,0.9808292530117253,2.227272727272727,2.08,0.6123255228843973,0.7237195048933027,2.2222222222222223,0.7539850847602461,0.03575417569914668,1.1549332328140747,3,0.437492013017023,1.424296359060149,15.645726185327382,3.2673029729484857,0.3060628317237376,0.7413375955185528,1.348913107935012
12260,"Augusta-Richmond County, GA-SC Metro Area",665543,248764,301385,248764,41162,40000,19.65811965811966,200000,57700,920,9.771823080251838,-0.01644838551192151,2.5303849632297224,-0.043575328150248,5.643960729320397,-0.2998478723055573,9.632141072419918,-0.31358912708670417,-0.07672638050420744,2022,1.667446678976497,1.7318212512966173,0.5491736011750152,1.6125813286533688,2.5968077723802914,0.0634139986320555,2.0519203413940255,3.4782608695652173,-0.19241028382174008,1.2465324187447315,2.3529411764705883,2.2423007955989624,0.7856403388890225,0.8216006914481282,2.5068119891008176,0.766715956505279,-0.009964041767953444,0.494909316301346,1,0.185548018641021,1.2513074286542585,12.488307408293723,1.3434870408093391,0.7443317052002104,2.1050666888247704,0.4750443324711419
