industry,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
All industries,1309.7,1398.9,1511.2,1599.5,1658,1719.1,1821.8,1971.1,2124.2,2252.8,2359,2371.3,2390.4,2474.4,2575.5,2681.6,2819.7,2922.9,3008.1,3149,3312.6,3477.5,3623.5,3871.4,4313.4,4587.7
    Private industries,1052.2,1132.2,1231.5,1311.7,1361.8,1412,1497.1,1622.6,1751.8,1852.4,1931.9,1928.5,1933.2,1997.2,2081.9,2176.6,2301.4,2397.9,2475.6,2599.1,2737.3,2879.7,3004.3,3209.4,3579.8,3810.9
"        Agriculture, forestry, fishing, and hunting",24.5,25.1,25.3,25.7,26.1,26.9,28.5,30.8,32.6,34.1,35.9,37,37.6,39.6,42.2,45.7,49.9,52.3,52.8,53.1,53.8,54.8,55.5,58.3,65.2,68.1
                Farms,22,22.6,22.8,23.2,23.6,24.3,25.7,27.5,28.9,30.1,31.7,32.6,33.1,34.7,37.1,40.3,44.3,46.5,46.6,46.6,46.9,47.5,48.1,50.7,56.8,59.3
"                Forestry, fishing, and related activities",2.5,2.5,2.5,2.5,2.5,2.6,2.9,3.3,3.7,4,4.2,4.4,4.6,4.9,5.1,5.3,5.6,5.8,6.1,6.5,6.9,7.3,7.4,7.6,8.4,8.7
        Mining,43.2,42.6,43.7,49.6,55,58.1,64.6,82,102.6,112.6,125.4,118.7,119.7,128.8,145.1,151.2,170.8,175.5,164.1,161.7,149.3,153.6,145.5,128.8,139.8,147.4
                Oil and gas extraction,30.4,29.9,31,37,42.6,46.1,52.4,68.7,87.4,95.6,106.1,98.7,99.3,106,118.8,122.3,139.8,143.9,133.6,132,119.1,122.7,115.1,98.3,106.3,111.5
"                Mining, except oil and gas",7.8,7.7,7.6,7.4,7.1,6.8,6.9,7.3,8,8.6,9.3,9.5,9.6,10.6,11.9,13,13.5,13.8,13.8,13.8,14.1,14.6,15.1,15.9,17.9,19.4
                Support activities for mining,5,5,5,5.2,5.3,5.2,5.3,6,7.2,8.3,9.9,10.5,10.8,12.2,14.4,15.9,17.4,17.8,16.7,16,16.1,16.3,15.3,14.6,15.6,16.5
        Utilities,41.5,41.5,42.9,44.5,45.5,46.1,48.2,51.3,54.6,58.7,64.8,67.2,69.9,73.6,77.4,80,83,86.1,89.2,94,97.8,104.2,111.2,121.3,137.7,145.5
        Construction,18.3,20.9,23.1,24,24.8,25.7,27.1,29.6,32.2,34.9,36.9,36.1,34,34.2,35.4,36.9,38.4,40,41.5,42.8,44.4,47.1,49.2,51.9,57.9,63.8
